Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
608,211,27th Nov 2014,99792,English,False,True,MaryMaybe
409,25,1st Apr 2020,1546,Korean,False,False,먼치킨솜 (mcksome33)
230,28,29th Apr 2019,1165,English,False,False,Meimeikyu
314,8,30th Jul 2018,195,Chinese,False,False,咪咪豬 (memeg1128)
133,21,24th Jan 2016,1857,English,False,False,Meowkisu
344,599,8th Feb 2018,84715,English,False,True,Meowko
156,8,25th Apr 2018,2548,English,False,False,MeowzaMeow
303,70,15th May 2019,17146,Korean,False,False,미단이 (midany)
134,52,18th May 2018,3664,Korean,False,False,미도롱 (mido_rong)
203,6,26th Sep 2017,81,English,False,False,Mikikuma28
310,16,6th Jun 2017,6320,Korean,False,False,미키야みきや (mikiya91)
264,7,21st Mar 2020,369,Russian,False,False,mikossya
292,32,29th Mar 2016,717,English,False,False,Milkenet
194,4,29th May 2019,86,English,False,False,milkTswizzle
130,16,3rd Mar 2020,1157,English,False,False,mimiedamami
223,27,16th May 2019,4630,English,False,False,minarocket_
165,5,21st Jan 2020,91,Korean,False,False,밍히_ (minghee_0325)
258,19,27th Sep 2019,1478,Korean,False,False,민쎵 (minssyoung)
254,129,2nd Feb 2014,3496,English,False,True,Minterly
195,1007,7th Aug 2019,41619,Korean,False,False,나는나미춘 (misschoon)
381,46,11th Dec 2018,4233,Korean,False,False,젤리양 (missjelly)
299,40,13th Aug 2019,1370,English,False,False,missmononoke
242,136,10th Oct 2015,10886,English,False,True,MitsukiBb
346,23,19th Sep 2019,1510,Korean,False,False,미야_ (miyalove33)
73,63,9th Apr 2020,1227,Japanese,False,False,みず_たまり (mizutamari_)
322,79,3rd Jan 2013,32045,English,False,True,Mizzimie
156,289,27th Sep 2018,68688,Korean,False,True,망개__ (mmange2)
188,18,30th Apr 2020,594,English,False,False,Mochi_BunnyS2
114,104,29th Apr 2018,14003,English,False,False,MomoOkimoto
211,15,6th Aug 2016,348,English,False,False,moonfishie
85,4,22nd Mar 2020,298,English,False,False,mprizzy204_
178,62,14th Jan 2018,22700,English,False,False,MsBeverlyHart
152,95,12th Nov 2018,3027,English,False,False,msemilywong
345,13,9th Jun 2019,579,English,False,False,MsMingLifestyle
142,59,24th Aug 2019,8698,English,False,False,mvngokitty
230,29,17th Oct 2019,1479,English,False,False,mylsquared
194,278,22nd Sep 2017,25110,Korean,False,True,묘야님 (myoya_)
